Time,Ax,Ay,Az
33.51,-0.96,0.03,-0.15
33.61,-0.97,0.04,-0.15
33.71,-0.99,0.05,-0.17
33.82,-0.97,0.03,-0.12
33.92,-0.99,0.04,-0.15
34.02,-0.97,0.03,-0.14
34.13,-1.00,0.06,-0.17
34.23,-0.99,0.02,-0.12
34.33,-0.95,0.03,-0.12
34.44,-0.97,0.02,-0.12
34.54,-0.98,0.03,-0.13
34.64,-0.97,0.03,-0.14
34.75,-0.98,0.04,-0.14
34.85,-0.97,0.04,-0.14
34.95,-0.97,0.03,-0.13
35.06,-0.98,0.04,-0.14
35.16,-0.98,0.03,-0.14
35.26,-0.97,0.03,-0.14
35.37,-0.98,0.03,-0.14
35.47,-0.97,0.03,-0.15
35.57,-0.97,0.03,-0.15
35.68,-0.98,0.00,-0.18
35.78,-0.98,0.03,-0.15
35.88,-0.97,0.03,-0.14
35.99,-0.98,0.03,-0.15
36.09,-0.97,0.03,-0.14
36.20,-0.98,0.03,-0.14
36.30,-0.98,0.03,-0.14
36.40,-0.98,0.03,-0.14
36.50,-0.98,0.03,-0.15
36.61,-0.98,0.03,-0.14
36.71,-0.97,0.03,-0.13
36.81,-0.97,0.04,-0.14
36.92,-0.97,0.03,-0.15
37.02,-0.97,0.03,-0.13
37.13,-0.97,0.03,-0.15
37.23,-0.97,0.03,-0.13
37.33,-0.97,0.03,-0.14
37.44,-0.98,0.03,-0.14
37.54,-0.97,0.03,-0.14
37.64,-0.98,0.03,-0.14
37.75,-0.98,0.03,-0.15
37.85,-0.98,0.03,-0.14
37.95,-0.98,0.04,-0.15
38.06,-0.98,0.03,-0.15
38.16,-0.98,0.03,-0.15
38.26,-0.97,0.03,-0.15
38.37,-0.97,0.03,-0.14
38.47,-0.98,0.03,-0.14
38.57,-0.98,0.03,-0.15
38.68,-0.98,0.03,-0.15
38.78,-0.98,0.04,-0.14
38.88,-0.98,0.03,-0.14
38.99,-0.98,0.04,-0.15
39.09,-0.98,0.03,-0.14
39.19,-0.98,0.03,-0.15
39.30,-0.98,0.03,-0.15
39.40,-0.98,0.03,-0.14
39.50,-0.98,0.03,-0.14
39.61,-0.98,0.03,-0.14
39.71,-0.98,0.04,-0.14
39.81,-0.98,0.03,-0.14
39.92,-0.97,0.03,-0.15
40.02,-0.98,0.03,-0.15
40.12,-0.98,0.03,-0.14
40.23,-0.98,0.03,-0.14
40.33,-0.97,0.03,-0.14
40.43,-0.98,0.03,-0.14
40.54,-0.98,0.03,-0.14
40.64,-0.98,0.03,-0.14
40.74,-0.97,0.03,-0.14
40.85,-0.97,0.04,-0.15
40.95,-0.98,0.03,-0.14
41.05,-0.97,0.03,-0.15
41.16,-0.97,0.03,-0.15
41.26,-0.97,0.03,-0.15
41.36,-0.98,0.03,-0.15
41.47,-0.98,0.03,-0.15
41.57,-0.98,0.03,-0.15
41.67,-0.97,0.03,-0.14
41.78,-0.98,0.03,-0.15
41.88,-0.98,0.04,-0.15
41.98,-0.98,0.03,-0.15
42.09,-0.97,0.03,-0.15
42.19,-0.97,0.03,-0.15
42.29,-0.98,0.03,-0.15
42.40,-0.97,0.03,-0.14
42.50,-0.98,0.03,-0.14
42.60,-0.97,0.04,-0.15
42.71,-0.97,0.03,-0.14
42.81,-0.98,0.03,-0.15
42.91,-0.98,0.03,-0.15
43.02,-0.98,0.04,-0.15
43.12,-0.97,0.03,-0.14
43.22,-0.97,0.03,-0.14
43.33,-0.97,0.03,-0.14
43.43,-0.97,0.03,-0.14
43.53,-0.97,0.03,-0.15
43.64,-0.98,0.03,-0.15
43.74,-0.97,0.03,-0.14
43.84,-0.97,0.03,-0.14
43.95,-0.97,0.03,-0.15
44.05,-0.98,0.04,-0.15
44.15,-0.98,0.03,-0.15
44.26,-0.97,0.03,-0.15
44.36,-0.98,0.03,-0.15
44.46,-0.98,0.03,-0.15
44.57,-0.98,0.03,-0.15
44.67,-0.97,0.03,-0.14
44.77,-0.98,0.03,-0.15
44.88,-0.97,0.03,-0.15
44.98,-0.98,0.03,-0.14
45.08,-0.97,0.03,-0.14
45.19,-0.98,0.03,-0.14
45.29,-0.97,0.03,-0.14
